Entity,Code,Year,Tonnes
Malaysia,MYS,2017,19919333
Malaysia,MYS,2018,19516100
Melanesia,OWID_MNS,1961,200
Melanesia,OWID_MNS,1962,200
Melanesia,OWID_MNS,1963,200
Melanesia,OWID_MNS,1964,200
Melanesia,OWID_MNS,1965,200
Melanesia,OWID_MNS,1966,200
Melanesia,OWID_MNS,1967,200
Melanesia,OWID_MNS,1968,200
Melanesia,OWID_MNS,1969,400
Melanesia,OWID_MNS,1970,400
Melanesia,OWID_MNS,1971,1500
Melanesia,OWID_MNS,1972,5500
Melanesia,OWID_MNS,1973,10500
Melanesia,OWID_MNS,1974,11000
Melanesia,OWID_MNS,1975,22300
Melanesia,OWID_MNS,1976,34535
Melanesia,OWID_MNS,1977,37044
Melanesia,OWID_MNS,1978,40911
Melanesia,OWID_MNS,1979,48010
Melanesia,OWID_MNS,1980,49228
Melanesia,OWID_MNS,1981,68081
Melanesia,OWID_MNS,1982,99238
Melanesia,OWID_MNS,1983,103654
Melanesia,OWID_MNS,1984,140666
Melanesia,OWID_MNS,1985,143000
Melanesia,OWID_MNS,1986,146560
Melanesia,OWID_MNS,1987,142999
Melanesia,OWID_MNS,1988,125227
Melanesia,OWID_MNS,1989,153090
Melanesia,OWID_MNS,1990,167104
Melanesia,OWID_MNS,1991,202518
Melanesia,OWID_MNS,1992,232854
Melanesia,OWID_MNS,1993,253786
Melanesia,OWID_MNS,1994,254537
Melanesia,OWID_MNS,1995,252974
Melanesia,OWID_MNS,1996,300486
Melanesia,OWID_MNS,1997,277745
Melanesia,OWID_MNS,1998,312077
Melanesia,OWID_MNS,1999,330000
Melanesia,OWID_MNS,2000,371000
Melanesia,OWID_MNS,2001,365000
Melanesia,OWID_MNS,2002,350000
Melanesia,OWID_MNS,2003,359000
Melanesia,OWID_MNS,2004,379000
Melanesia,OWID_MNS,2005,345000
Melanesia,OWID_MNS,2006,401000
Melanesia,OWID_MNS,2007,419400
Melanesia,OWID_MNS,2008,504000
Melanesia,OWID_MNS,2009,503100
Melanesia,OWID_MNS,2010,528600
Melanesia,OWID_MNS,2011,611600
Melanesia,OWID_MNS,2012,518000
Melanesia,OWID_MNS,2013,537000
Melanesia,OWID_MNS,2014,561000
Melanesia,OWID_MNS,2015,539000
Melanesia,OWID_MNS,2016,564000
Melanesia,OWID_MNS,2017,688000
Melanesia,OWID_MNS,2018,665000
Mexico,MEX,1961,20240
Mexico,MEX,1962,23400
Mexico,MEX,1963,18800
Mexico,MEX,1964,20600
Mexico,MEX,1965,20700
Mexico,MEX,1966,20800
Mexico,MEX,1967,18500
Mexico,MEX,1968,20200
Mexico,MEX,1969,14900
